,dev_entities_topic_level.conll,dev_events_topic_level.conll,dev_mixed_topic_level.conll
mentions_recall,0.5684257602862254,0.4315742397137746,1.0
mentions_precision,1.0,1.0,1.0
mentions_f1,0.7248360422013116,0.6029365823180257,1.0
muc_recall,0.5779909136799596,0.42200908632004036,1.0
muc_precision,1.0,1.0,1.0
muc_f1,0.7325655790147153,0.5935392261270855,1.0
bcub_recall,0.5684257602862254,0.4315742397137746,1.0
bcub_precision,1.0,1.0,1.0
bcub_f1,0.7248360422013116,0.6029365823180257,1.0
ceafe_recall,0.49411764705882355,0.5058823529411764,1.0
ceafe_precision,1.0,1.0,1.0
ceafe_f1,0.6614173228346457,0.671875,1.0
lea_recall,0.5684257602862254,0.4315742397137746,1.0
lea_precision,1.0,1.0,1.0
lea_f1,0.7248360422013116,0.6029365823180257,1.0
conll,70.62729813502243,62.27836028150371,100.0
